,runoff_obs,basin_cfs_pred,Id,year,month,day,precip,tmax,tmin
241,20.0,18.201541,242,2003,5,30,0.0,88.6,62.8
242,24.0,17.545305,243,2003,5,31,0.0,86.5,54.5
243,24.0,16.555077999999998,244,2003,6,1,0.0,82.9,61.0
244,23.0,16.125084,245,2003,6,2,0.0,78.2,51.9
245,23.0,15.996294,246,2003,6,3,0.0,83.9,48.3
246,23.0,15.463575,247,2003,6,4,0.0,80.1,50.0
247,22.0,14.954838,248,2003,6,5,0.0,75.5,45.2
248,21.0,14.680732,249,2003,6,6,0.0,73.5,47.3
249,21.0,14.685789999999999,250,2003,6,7,0.0,82.0,51.3
250,21.0,14.190353,251,2003,6,8,0.0,77.4,51.8
251,20.0,15.542422,252,2003,6,9,0.02,78.1,57.4
252,20.0,16.667872,253,2003,6,10,0.02,79.1,57.9
253,21.0,16.099369,254,2003,6,11,0.0,80.7,52.9
254,20.0,18.397714999999998,255,2003,6,12,0.01,75.7,50.5
962,21.0,33.714746000000005,963,2005,5,20,0.0,74.2,47.4
963,34.0,36.658306,964,2005,5,21,0.0,76.6,48.1
964,35.0,38.141841,965,2005,5,22,0.0,71.2,46.1
965,52.0,44.681297,966,2005,5,23,0.0,79.3,50.0
966,91.0,47.935781,967,2005,5,24,0.0,77.8,51.3
967,76.0,49.87003,968,2005,5,25,0.0,72.7,46.3
968,53.0,51.415129,969,2005,5,26,0.0,67.8,44.0
969,97.0,53.959885,970,2005,5,27,0.01,70.5,44.7
970,84.0,60.69694499999999,971,2005,5,28,0.04,71.5,47.1
971,114.0,61.92789499999999,972,2005,5,29,0.01,76.3,47.7
972,106.0,59.98700600000001,973,2005,5,30,0.0,69.2,41.4
973,78.0,62.017809,974,2005,5,31,0.0,63.5,40.6
974,91.0,63.049399,975,2005,6,1,0.0,69.7,44.1
975,104.0,66.113436,976,2005,6,2,0.0,70.8,43.1
976,93.0,65.110831,977,2005,6,3,0.34,58.6,36.5
977,105.0,64.459419,978,2005,6,4,0.07,60.3,35.1
978,95.0,66.163454,979,2005,6,5,0.0,66.3,45.1
979,79.0,64.604222,980,2005,6,6,0.01,69.4,45.1
980,78.0,61.962068,981,2005,6,7,0.0,61.6,38.1
981,63.0,60.041006,982,2005,6,8,0.0,58.3,34.8
982,56.0,57.817133999999996,983,2005,6,9,0.01,52.2,36.8
983,50.0,57.750783999999996,984,2005,6,10,0.02,55.3,36.8
984,43.0,59.665213,985,2005,6,11,0.14,59.8,40.3
985,37.0,58.552476,986,2005,6,12,0.16,55.9,38.1
986,38.0,55.903347,987,2005,6,13,0.0,66.9,39.5
987,40.0,53.628482,988,2005,6,14,0.0,67.9,42.4
988,51.0,53.529892000000004,989,2005,6,15,0.0,78.2,50.0
989,61.0,52.031584,990,2005,6,16,0.0,79.0,52.9
990,66.0,50.96654,991,2005,6,17,0.0,74.9,58.8
991,67.0,48.692425,992,2005,6,18,0.0,72.2,44.2
992,68.0,47.488439,993,2005,6,19,0.0,70.1,45.1
993,66.0,47.415126,994,2005,6,20,0.0,76.5,50.5
994,68.0,47.459886,995,2005,6,21,0.0,82.0,57.0
995,70.0,47.054848,996,2005,6,22,0.0,83.6,60.1
996,65.0,49.619889,997,2005,6,23,0.02,77.7,55.0
997,69.0,48.292127,998,2005,6,24,0.0,80.6,53.7
998,45.0,45.473399,999,2005,6,25,0.0,77.4,51.2
999,35.0,44.230096,1000,2005,6,26,0.0,74.8,51.3
1000,34.0,46.352349,1001,2005,6,27,0.0,75.3,49.2
1001,32.0,44.767021,1002,2005,6,28,0.0,76.7,53.5
1002,32.0,42.488669,1003,2005,6,29,0.0,75.6,48.5
1003,35.0,41.036146,1004,2005,6,30,0.0,74.9,46.2
1004,37.0,39.796528,1005,2005,7,1,0.0,81.0,50.6
1005,43.0,40.315682,1006,2005,7,2,0.0,86.3,60.6
1006,43.0,38.336886,1007,2005,7,3,0.0,86.4,55.2
1007,37.0,36.704693,1008,2005,7,4,0.0,81.5,54.5
1008,37.0,36.350595,1009,2005,7,5,0.0,85.8,56.6
1009,37.0,35.308528,1010,2005,7,6,0.0,84.4,61.1
1010,36.0,34.095299,1011,2005,7,7,0.0,86.8,61.2
1011,35.0,33.166533,1012,2005,7,8,0.0,87.7,57.9
1012,35.0,31.977342999999998,1013,2005,7,9,0.0,86.6,57.7
1013,33.0,31.051576,1014,2005,7,10,0.0,82.8,62.0
1014,32.0,29.862561,1015,2005,7,11,0.0,84.7,60.4
1015,34.0,28.843439,1016,2005,7,12,0.0,85.6,60.2
1016,35.0,28.068688,1017,2005,7,13,0.0,93.3,64.8
1017,34.0,27.463359000000004,1018,2005,7,14,0.0,92.5,66.8
1018,35.0,26.537034000000002,1019,2005,7,15,0.0,92.9,64.6
1019,30.0,25.712370999999997,1020,2005,7,16,0.0,92.1,68.1
1020,30.0,24.291472,1021,2005,7,17,0.0,92.9,68.6
1021,30.0,23.367112,1022,2005,7,18,0.0,91.4,60.2
1022,29.0,22.565849,1023,2005,7,19,0.0,90.2,62.6
1023,28.0,22.024553,1024,2005,7,20,0.0,95.3,66.6
1024,28.0,21.1557,1025,2005,7,21,0.0,95.8,68.9
1025,28.0,19.889412,1026,2005,7,22,0.04,91.1,63.1
1026,29.0,21.565606,1027,2005,7,23,0.08,88.9,60.5
1027,30.0,21.365666,1028,2005,7,24,0.01,84.4,59.0
1028,29.0,26.612964,1029,2005,7,25,0.24,83.3,57.9
1029,28.0,25.652576,1030,2005,7,26,0.02,84.2,54.5
1030,27.0,22.641253,1031,2005,7,27,0.0,80.3,51.9
1031,27.0,21.397835,1032,2005,7,28,0.0,86.7,55.4
1032,26.0,20.179073000000002,1033,2005,7,29,0.0,88.7,61.7
1033,26.0,19.40935,1034,2005,7,30,0.0,85.6,59.0
1034,25.0,18.080408,1035,2005,7,31,0.01,80.8,56.9
1035,25.0,20.195998,1036,2005,8,1,0.1,82.4,58.5
1036,24.0,22.677564999999998,1037,2005,8,2,0.16,78.9,56.1
1037,22.0,18.516970999999998,1038,2005,8,3,0.03,78.6,54.0
1038,22.0,17.589230999999998,1039,2005,8,4,0.0,80.1,57.0
1039,22.0,16.635481,1040,2005,8,5,0.0,82.7,59.7
1040,21.0,15.748818,1041,2005,8,6,0.0,84.2,60.5
1041,21.0,14.924922,1042,2005,8,7,0.0,85.3,60.2
1042,21.0,14.1182,1043,2005,8,8,0.0,86.6,62.2
1043,21.0,16.942764999999998,1044,2005,8,9,0.08,83.0,57.9
1044,20.0,13.756084,1045,2005,8,10,0.0,79.9,57.8
1045,20.0,19.883618,1046,2005,8,11,0.15,82.0,56.8
1046,20.0,14.09707,1047,2005,8,12,0.0,81.9,56.3
1047,20.0,13.332089999999999,1048,2005,8,13,0.0,81.2,57.6
1324,21.0,19.746643,1325,2006,5,17,0.0,77.8,53.7
1325,20.0,19.782891,1326,2006,5,18,0.0,80.8,56.0
1326,23.0,19.726103,1327,2006,5,19,0.0,81.7,56.2
1327,24.0,27.584599,1328,2006,5,20,0.07,77.1,53.6
1328,26.0,23.676849,1329,2006,5,21,0.0,76.5,50.2
1329,25.0,22.427321,1330,2006,5,22,0.0,71.0,54.6
1330,24.0,21.131515,1331,2006,5,23,0.0,61.8,39.7
1331,24.0,21.010165,1332,2006,5,24,0.0,68.8,40.9
1332,25.0,20.803942000000003,1333,2006,5,25,0.09,77.0,47.0
1333,25.0,20.169553,1334,2006,5,26,0.02,80.1,53.6
1334,25.0,19.589469,1335,2006,5,27,0.0,77.1,49.7
1335,24.0,19.208295,1336,2006,5,28,0.05,55.3,30.3
1336,22.0,19.801370000000002,1337,2006,5,29,0.04,49.1,28.3
1337,21.0,19.470743,1338,2006,5,30,0.0,59.9,30.5
1345,21.0,18.23325,1346,2006,6,7,0.0,89.3,61.2
1346,21.0,19.956708,1347,2006,6,8,0.03,78.8,51.5
1347,22.0,23.082954,1348,2006,6,9,0.17,73.9,48.6
1348,21.0,19.355898,1349,2006,6,10,0.02,73.6,44.8
1349,23.0,18.588416,1350,2006,6,11,0.0,77.9,45.3
1350,22.0,17.788989,1351,2006,6,12,0.0,81.1,51.7
1351,22.0,16.931793,1352,2006,6,13,0.0,80.7,57.2
1352,22.0,17.676105,1353,2006,6,14,0.04,73.9,43.7
1353,22.0,16.067267,1354,2006,6,15,0.0,64.6,44.1
1354,21.0,16.140629,1355,2006,6,16,0.02,61.4,41.4
1355,20.0,14.997067000000001,1356,2006,6,17,0.0,71.9,39.7
2425,20.0,17.680971,2426,2009,5,22,0.0,71.9,44.7
2426,20.0,36.508685,2427,2009,5,23,0.0,72.8,50.5
2427,20.0,35.138698,2428,2009,5,24,0.06,67.9,45.6
2434,20.0,39.702114,2435,2009,5,31,0.08,70.1,47.5
2435,20.0,31.680658,2436,2009,6,1,0.0,71.9,48.5
2806,27.0,26.291347,2807,2010,6,7,0.0,86.8,57.7
2807,29.0,25.720422,2808,2010,6,8,0.0,85.0,50.3
2808,28.0,28.370047999999997,2809,2010,6,9,0.02,75.8,48.1
2809,29.0,28.324734999999997,2810,2010,6,10,0.0,81.1,53.3
2810,30.0,27.370168,2811,2010,6,11,0.0,73.2,40.9
2811,23.0,26.855833,2812,2010,6,12,0.07,51.0,39.3
2812,22.0,26.743161999999998,2813,2010,6,13,0.38,47.5,39.3
3177,22.0,49.791786,3178,2011,6,13,0.0,69.9,48.7
3178,26.0,50.606718,3179,2011,6,14,0.0,72.3,47.6
3179,33.0,50.994071000000005,3180,2011,6,15,0.0,75.5,46.7
3180,38.0,52.588593,3181,2011,6,16,0.0,80.5,50.4
3181,40.0,50.710499,3182,2011,6,17,0.0,70.3,42.4
3182,42.0,50.531615,3183,2011,6,18,0.0,67.2,41.4
3183,43.0,56.364148,3184,2011,6,19,0.0,73.4,44.8
3184,45.0,53.954418999999994,3185,2011,6,20,0.26,60.7,39.8
3185,46.0,52.681354000000006,3186,2011,6,21,0.0,69.7,41.2
3186,47.0,52.054029,3187,2011,6,22,0.0,77.7,46.6
3187,48.0,52.966784,3188,2011,6,23,0.0,84.8,55.9
3188,49.0,51.716837,3189,2011,6,24,0.0,84.6,57.3
3189,50.0,50.488302000000004,3190,2011,6,25,0.0,81.2,54.0
3190,51.0,49.630819,3191,2011,6,26,0.0,80.2,52.3
3191,52.0,48.253228,3192,2011,6,27,0.0,78.8,50.3
3192,52.0,48.65115,3193,2011,6,28,0.0,83.2,55.0
3193,52.0,47.595588,3194,2011,6,29,0.0,82.0,61.1
3194,52.0,46.741025,3195,2011,6,30,0.0,77.8,54.7
3195,52.0,44.539938,3196,2011,7,1,0.0,77.8,51.8
3196,52.0,43.309813,3197,2011,7,2,0.0,81.8,53.7
3197,52.0,43.911004999999996,3198,2011,7,3,0.0,89.1,58.7
3198,52.0,43.024101,3199,2011,7,4,0.0,88.7,62.5
3199,52.0,50.998456,3200,2011,7,5,0.33,81.1,54.4
3200,52.0,49.22418,3201,2011,7,6,0.06,80.0,53.9
3201,50.0,49.356526,3202,2011,7,7,0.11,77.0,56.3
3202,49.0,49.672832,3203,2011,7,8,0.12,76.5,55.8
3203,47.0,49.770616,3204,2011,7,9,0.02,78.2,54.5
3204,45.0,46.431845,3205,2011,7,10,0.0,82.3,55.8
3205,44.0,43.640796,3206,2011,7,11,0.0,81.2,53.8
3206,44.0,41.38158,3207,2011,7,12,0.0,78.7,54.5
3207,43.0,39.417784999999995,3208,2011,7,13,0.0,77.9,56.5
3208,43.0,37.680889,3209,2011,7,14,0.0,77.3,56.3
3209,41.0,35.973514,3210,2011,7,15,0.0,77.0,55.4
3210,37.0,34.391752000000004,3211,2011,7,16,0.0,76.8,54.5
3211,34.0,32.921256,3212,2011,7,17,0.0,77.2,54.8
3212,33.0,32.376053999999996,3213,2011,7,18,0.0,83.7,59.4
3213,32.0,30.700535,3214,2011,7,19,0.0,83.8,63.8
3214,32.0,29.523041999999997,3215,2011,7,20,0.0,84.1,59.3
3215,30.0,28.21003,3216,2011,7,21,0.0,84.7,53.3
3216,30.0,27.320639,3217,2011,7,22,0.0,85.1,56.2
3217,30.0,26.030739,3218,2011,7,23,0.0,84.6,57.3
3218,29.0,25.097239000000002,3219,2011,7,24,0.0,84.9,57.2
3219,28.0,24.455215,3220,2011,7,25,0.0,87.1,62.6
3220,27.0,23.416003,3221,2011,7,26,0.0,82.8,60.2
3221,27.0,26.563057,3222,2011,7,27,0.33,81.9,53.9
3222,26.0,23.694442000000002,3223,2011,7,28,0.09,81.1,52.7
3223,25.0,22.454396,3224,2011,7,29,0.0,82.4,55.2
3224,24.0,23.239589000000002,3225,2011,7,30,0.07,85.0,59.1
3225,24.0,26.044618,3226,2011,7,31,0.14,79.3,59.7
3226,22.0,22.401541,3227,2011,8,1,0.11,73.7,56.0
