,Dp,YEAR,MO,DY,HR,MN,Hs,Tp,Ta,Temp,lag,time_sin,time_sin_no_year,season
72,308,2012,4,10,8,23,0.9,2.78,3.45,12.9,177,1.0918607419573299,2.85380296184477e-11,2
73,338,2012,4,10,8,53,0.96,3.03,3.47,12.8,308,1.24992073107372,1.19750359944425e-11,2
74,345,2012,4,10,9,23,0.89,3.57,3.57,12.8,338,1.40798072019012,-4.58795762956271e-12,2
75,353,2012,4,10,9,53,0.92,3.57,3.67,12.8,345,1.5660407093065198,3.7056709659899495e-11,2
117,353,2012,4,11,6,53,1.35,4.17,3.93,13.1,176,8.20456025219519,3.9902908413289204e-11,2
118,359,2012,4,11,7,23,1.57,4.76,4.12,13.0,353,8.362620241311589,2.3339914789284e-11,2
122,359,2012,4,11,9,23,2.29,5.88,4.88,12.9,3,8.994860197777179,1.5295601206730502e-11,2
123,359,2012,4,11,9,53,2.21,5.88,4.93,12.8,359,9.15292018689357,-1.26739241727471e-12,2
159,359,2012,4,12,3,53,1.23,5.26,4.17,12.5,12,14.843079795083899,4.27491071666789e-11,2
177,359,2012,4,12,12,53,1.21,5.26,3.91,12.3,9,17.688159599179002,3.5653526501922004e-11,2
178,357,2012,4,12,13,23,1.16,5.56,3.79,12.3,359,17.846219588295398,1.90905328779168e-11,2
179,350,2012,4,12,13,53,1.21,5.56,4.0,12.4,357,18.0042795774118,2.52753925391157e-12,2
180,356,2012,4,12,14,23,1.14,5.56,3.97,12.4,350,18.1623395665282,-1.4035454370093599e-11,2
182,348,2012,4,12,15,23,1.21,5.0,4.11,12.5,0,18.478459544760998,1.10462192953633e-11,2
186,359,2012,4,12,17,23,1.25,5.56,4.39,12.6,6,19.110699501226602,3.0019057128098595e-12,2
201,359,2012,4,13,0,53,0.9,5.56,4.47,12.4,7,-8.320723049722769,-1.2612354993398801e-11,2
488,359,2012,4,19,0,23,1.52,5.56,4.96,15.0,12,7.24017143898785,6.8366698214309104e-12,2
748,253,2012,4,24,10,23,1.5,3.7,4.72,13.9,125,18.5334462215558,7.825235176662249e-12,2
904,356,2012,4,27,16,23,1.55,4.76,4.77,15.1,6,13.3884821360184,1.4239140481147802e-11,2
905,352,2012,4,27,16,53,1.53,5.0,4.73,15.1,356,13.546542125134803,-2.32385314285743e-12,2
906,350,2012,4,27,17,23,1.46,5.26,4.74,15.0,352,13.704602114251198,1.02169836898711e-11,2
907,346,2012,4,27,17,53,1.45,5.26,4.95,15.0,350,13.862662103367601,2.27578205225995e-11,2
909,350,2012,4,27,18,53,1.39,5.56,4.73,15.1,149,14.178782081600401,1.8735663731322802e-11,2
910,359,2012,4,27,19,23,1.32,5.56,4.79,15.1,350,14.3368420707168,2.1726701073175902e-12,2
2501,353,2012,5,30,22,53,3.44,6.25,6.05,22.8,142,10.0371646075561,9.86211454327707e-12,2
2993,221,2012,6,10,4,53,0.56,2.44,3.2,21.5,65,3.2566139540600196,1.0503957466113699e-11,2
