,Dp,YEAR,MO,DY,HR,MN,Hs,Tp,Ta,Temp,lag,time_sin,time_sin_no_year,season
0,68,2012,4,8,20,23,1.01,11.11,5.75,13.5,73,19.5138639132721,-1.28730863599209e-12,2
1,73,2012,4,8,20,53,0.99,9.88,6.01,13.2,68,19.6719239023885,4.03573586534701e-11,2
2,68,2012,4,8,21,23,0.97,9.88,5.71,13.2,73,19.8299838915049,2.37943650294649e-11,2
3,69,2012,4,8,21,53,0.92,10.53,5.52,13.2,68,19.9880438806212,7.23137140545966e-12,2
4,62,2012,4,8,22,23,0.92,11.11,5.34,13.1,69,20.1461038697376,-9.331622218545562e-12,2
5,71,2012,4,8,22,53,1.0,9.88,4.7,12.9,62,20.304163858854,3.23130450709166e-11,2
6,75,2012,4,8,23,23,1.1,9.88,4.71,12.6,71,20.462223847970396,1.57500514469114e-11,2
7,61,2012,4,8,23,53,1.01,11.11,4.59,12.6,75,20.620283837086802,-8.129421770938059e-13,2
8,73,2012,4,9,0,23,0.98,10.53,4.48,12.6,61,20.778343826203198,4.08317251123684e-11,2
9,71,2012,4,9,0,53,0.99,10.53,4.42,12.5,73,20.936403815319604,2.42687314883632e-11,2
10,6,2017,12,31,23,51,2.21,6.25,5.01,11.0,13,-2.6642171498489,-6.76784897608699e-13,4
11,9,2018,1,1,0,21,2.3,6.25,5.16,11.0,6,-1.42848336703466,5.957680323023409e-11,1
14,0,2018,1,1,1,51,2.12,6.25,5.04,11.0,359,-0.954303399685471,6.80954832716859e-11,1
16,2,2018,1,1,2,51,2.28,6.25,5.22,10.9,359,-0.638183421452677,3.49694960236755e-11,1
17,12,2018,1,1,3,21,2.35,6.67,5.24,10.8,2,-0.48012343233628,7.66141633131377e-11,1
18,4,2018,1,1,3,51,2.39,6.67,5.19,10.8,12,-0.322063443219883,1.84350877566503e-12,1
19,4,2018,1,1,4,21,2.25,6.67,5.08,10.8,4,-0.164003454103486,4.34881760651272e-11,1
20,17,2018,1,1,4,51,2.41,7.14,5.24,10.7,4,-0.005943464987089001,8.513284335458941e-11,1
21,7,2018,1,1,5,21,2.36,6.67,5.11,10.7,17,0.152116524129308,1.03621888171168e-11,1
22,6,2018,1,1,5,51,2.45,6.25,5.29,10.7,7,0.31017651324570505,5.2006856106579e-11,1
23,13,2018,1,1,6,21,2.34,6.67,5.15,10.6,6,0.46823650236210207,-2.2763798430893602e-11,1
24,7,2018,1,1,6,51,2.72,6.67,5.66,10.6,13,0.626296491478499,1.8880868858568502e-11,1
25,14,2018,1,1,7,21,2.63,7.14,5.56,10.4,7,0.7843564805948959,6.052553614803071e-11,1
26,19,2018,1,1,7,51,2.92,7.69,5.97,10.4,14,0.942416469711293,-1.42451183894419e-11,1
27,10,2018,1,1,8,21,3.17,7.14,6.07,10.4,19,1.1004764588276899,2.7399548900020303e-11,1
28,17,2018,1,1,8,51,3.08,7.69,5.94,10.4,10,1.2585364479440901,6.90442161894825e-11,1
29,16,2018,1,1,9,21,2.99,7.69,5.96,10.3,17,1.4165964370604802,-5.7264383479901505e-12,1
30,6,2018,1,1,9,51,3.04,7.14,5.82,10.2,16,1.57465642617688,3.5918228941472004e-11,1
31,12,2018,1,1,10,21,2.86,7.69,5.71,10.2,6,1.73271641529328,7.75628962309342e-11,1
32,6,2018,1,1,10,51,3.15,7.69,6.13,10.1,12,1.89077640440967,2.7922416934616e-12,1
33,16,2018,1,1,11,21,2.99,7.69,5.94,10.1,6,2.04883639352607,4.4436908982923796e-11,1
34,20,2018,1,1,11,51,3.08,7.69,5.91,10.1,16,2.20689638264247,8.6081576272386e-11,1
35,10,2018,1,1,12,21,3.21,7.69,6.06,10.1,20,2.36495637175887,1.13109217349134e-11,1
36,27,2018,1,1,12,51,2.85,8.33,5.83,10.1,10,2.5230163608752596,5.29555890243755e-11,1
37,21,2018,1,1,13,21,3.01,7.69,5.83,10.1,27,2.68107634999166,-2.1815065513097103e-11,1
38,10,2018,1,1,13,51,2.99,7.69,5.86,10.2,21,2.83913633910806,1.98296017763651e-11,1
39,17,2018,1,1,14,21,2.94,8.33,5.84,10.2,10,2.9971963282244505,6.147426906582729e-11,1
40,19,2018,1,1,14,51,3.26,8.33,6.07,10.2,17,3.15525631734085,-1.32963854716453e-11,1
41,13,2018,1,1,15,21,2.93,7.69,5.9,10.6,19,3.31331630645725,2.8348281817816896e-11,1
42,16,2018,1,1,15,51,3.17,7.69,6.11,10.7,13,3.47137629557364,6.9992949107279e-11,1
43,13,2018,1,1,16,21,3.2,7.69,5.99,10.7,16,3.6294362846900396,-4.77770543019358e-12,1
44,17,2018,1,1,16,51,3.07,8.33,5.87,10.6,13,3.78749627380644,3.6866961859268604e-11,1
45,27,2018,1,1,17,21,3.18,8.33,5.92,10.5,17,3.9455562629228402,7.85116291487308e-11,1
46,12,2018,1,1,17,51,2.95,7.69,5.87,10.4,27,4.10361625203923,3.74097461125818e-12,1
47,24,2018,1,1,18,21,2.93,8.33,5.84,10.4,12,4.26167624115563,4.53856419007204e-11,1
48,16,2018,1,1,18,51,3.05,7.69,5.98,10.4,24,-10.481424963575598,8.70303091901826e-11,1
49,28,2018,1,1,19,21,3.04,8.33,5.95,10.3,16,-10.3233649744592,1.2259654652709901e-11,1
50,17,2018,1,1,19,51,2.75,8.33,5.92,10.3,28,-10.1653049853428,5.3904321942172104e-11,1
51,21,2018,1,1,20,21,3.03,8.33,5.94,10.2,17,-10.007244996226401,-2.08663325953005e-11,1
52,30,2018,1,1,20,51,2.98,8.33,5.97,10.2,21,-9.849185007110039,2.07783346941617e-11,1
53,16,2018,1,1,21,21,2.88,7.69,5.88,10.1,30,-9.691125017993642,6.24230019836239e-11,1
54,17,2018,1,1,21,51,2.82,7.14,5.74,10.1,16,-9.53306502887725,-1.2347652553848802e-11,1
55,17,2018,1,1,22,21,2.83,7.69,5.74,10.1,17,-9.375005039760849,2.92970147356134e-11,1
56,13,2018,1,1,22,51,2.72,7.69,5.85,10.1,17,-9.21694505064445,7.09416820250756e-11,1
57,17,2018,1,1,23,21,2.82,7.69,5.67,10.1,13,-9.058885061528061,-3.82897251239701e-12,1
58,12,2018,1,1,23,51,2.76,7.69,5.87,10.1,17,-8.90082507241166,3.7815694777065204e-11,1
59,21,2018,1,2,0,21,2.46,7.69,5.44,10.1,12,-8.742765083295259,7.946036206652741e-11,1
60,20,2018,1,2,0,51,2.57,7.14,5.8,9.9,21,-8.58470509417887,4.68970752905475e-12,1
61,17,2018,1,2,1,21,2.53,7.14,5.64,9.9,20,-8.42664510506247,4.63343748185169e-11,1
62,30,2018,1,2,1,51,2.4,8.33,5.69,9.8,17,-8.26858511594607,8.797904210797909e-11,1
63,27,2018,1,2,2,21,2.37,7.69,5.44,9.8,30,-8.11052512682968,1.32083875705065e-11,1
64,35,2018,1,2,2,51,2.39,8.33,5.56,9.7,27,-7.95246513771328,5.4853054859968703e-11,1
65,20,2018,1,2,3,21,2.37,7.14,5.6,9.6,35,-7.794405148596881,-1.9917599677503897e-11,1
66,17,2018,1,2,3,51,2.3,6.67,5.34,9.6,20,-7.63634515948048,2.17270676119582e-11,1
67,26,2018,1,2,4,21,2.24,7.69,5.33,9.5,17,-7.4782851703640905,6.33717349014204e-11,1
68,16,2018,1,2,4,51,2.15,6.25,5.34,9.5,26,-7.320225181247691,-1.1398919636052199e-11,1
69,12,2018,1,2,5,21,2.13,6.25,5.34,9.4,16,-7.16216519213129,3.024574765341e-11,1
70,30,2018,1,2,5,51,2.09,7.69,5.32,9.4,12,-7.004105203014901,7.18904149428722e-11,1
71,24,2018,1,2,6,21,1.97,6.67,5.23,9.4,30,-6.8460452138985,-2.88023959460044e-12,1
72,26,2018,1,2,6,51,2.17,7.69,5.32,9.4,24,-6.6879852247821,3.87644276948618e-11,1
73,33,2018,1,2,7,21,2.06,7.14,5.29,9.4,26,-6.529925235665701,8.04090949843239e-11,1
74,27,2018,1,2,7,51,2.02,6.67,5.16,9.4,33,-6.3718652465493095,5.638440446851321e-12,1
75,23,2018,1,2,8,21,2.02,6.25,5.14,9.3,27,-6.21380525743291,4.72831077363135e-11,1
76,17,2018,1,2,8,51,2.0,5.88,5.08,9.3,23,-6.055745268316509,-2.74875468011591e-11,1
77,13,2018,1,2,9,21,2.13,5.88,5.27,9.3,17,-5.89768527920012,1.4157120488303099e-11,1
78,17,2018,1,2,9,51,2.06,7.14,5.12,9.3,13,-5.73962529008372,5.580178777776529e-11,1
79,23,2018,1,2,10,21,2.08,7.14,5.26,9.2,17,-5.58156530096732,-1.8968866759707398e-11,1
80,31,2018,1,2,10,51,2.04,7.69,5.24,9.2,23,-5.4235053118509295,2.2675800529754803e-11,1
81,34,2018,1,2,11,21,2.06,8.33,5.32,9.2,31,-5.26544532273453,6.4320467819217e-11,1
82,30,2018,1,2,11,51,2.04,7.69,5.28,9.2,34,-5.10738533361813,-1.04501867182556e-11,1
83,26,2018,1,2,12,21,2.07,7.14,5.4,9.2,30,-4.94932534450174,3.11944805712066e-11,1
84,26,2018,1,2,12,51,2.17,7.69,5.52,9.2,26,-4.79126535538534,7.28391478606688e-11,1
85,26,2018,1,2,13,21,2.15,7.14,5.39,9.1,26,-4.633205366268941,-1.9315066768038703e-12,1
86,26,2018,1,2,13,51,2.01,7.69,5.34,9.1,26,-4.47514537715254,3.971316061265829e-11,1
87,27,2018,1,2,14,21,2.01,7.69,5.28,9.1,26,-4.3170853880361495,8.13578279021205e-11,1
88,19,2018,1,2,14,51,1.95,7.14,5.35,9.1,27,-4.159025398919749,6.5871733646478896e-12,1
89,34,2018,1,2,15,21,1.98,7.69,5.28,9.1,19,-4.00096540980335,4.82318406541101e-11,1
90,35,2018,1,2,15,51,1.85,7.69,5.13,9.1,34,-3.8429054206869604,-2.65388138833625e-11,1
91,26,2018,1,2,16,21,1.78,7.14,5.14,9.1,35,-3.6848454315705603,1.5105853406099598e-11,1
92,33,2018,1,2,16,51,1.88,7.14,5.27,9.1,26,-3.5267854424541603,5.67505206955618e-11,1
93,28,2018,1,2,17,21,1.8,7.14,5.28,9.1,33,-3.36872545333776,-1.80201338419108e-11,1
94,27,2018,1,2,17,51,1.82,7.14,5.13,9.0,28,-3.2106654642213703,2.36245334475514e-11,1
95,27,2018,1,2,18,21,1.78,7.69,5.16,9.0,27,-3.0526054751049703,6.52692007370136e-11,1
96,26,2018,1,2,18,51,1.8,7.14,5.17,9.0,27,-2.8945454859885698,-9.50145380045905e-12,1
97,28,2018,1,2,19,21,1.65,6.67,4.96,8.9,26,-2.73648549687218,3.21432134890031e-11,1
98,20,2018,1,2,19,51,1.58,7.14,4.87,8.9,28,-2.57842550775578,7.378788077846529e-11,1
99,26,2018,1,2,20,21,1.54,6.25,4.88,8.9,20,-2.4203655186393798,-9.827737590072951e-13,1
100,20,2018,1,2,20,51,1.53,7.14,4.88,8.9,26,-2.2623055295229797,4.06618935304549e-11,1
101,23,2018,1,2,21,21,1.58,6.67,4.97,8.9,20,-2.1042455404065903,8.230656081991709e-11,1
102,28,2018,1,2,21,51,1.53,7.14,5.08,8.9,23,-1.94618555129019,7.53590628244446e-12,1
103,19,2018,1,2,22,21,1.43,7.14,5.0,8.9,28,-1.78812556217379,4.9180573571906704e-11,1
104,24,2018,1,2,22,51,1.46,7.14,5.13,8.9,19,-1.6300655730574,-2.5590080965566e-11,1
105,31,2018,1,2,23,21,1.32,6.67,5.13,8.9,24,-1.472005583941,1.6054586323896198e-11,1
106,26,2018,1,2,23,51,1.32,6.67,5.26,8.9,31,-1.3139455948246002,5.76992536133584e-11,1
107,20,2018,1,3,0,21,1.22,6.67,5.16,8.9,26,-1.15588560570821,-1.70714009241142e-11,1
108,26,2018,1,3,0,51,1.26,6.25,5.15,8.9,20,-0.9978256165918091,2.4573266365348e-11,1
109,26,2018,1,3,1,21,1.22,6.67,5.23,8.8,26,-0.8397656274754121,6.62179336548101e-11,1
110,19,2018,1,3,1,51,1.17,5.26,4.97,8.8,26,-0.681705638359015,-8.552720882662481e-12,1
111,30,2018,1,3,2,21,1.2,6.67,5.17,8.8,19,-0.523645649242618,3.30919464067997e-11,1
112,26,2018,1,3,2,51,1.14,5.88,4.98,8.8,30,-0.365585660126221,7.47366136962619e-11,1
113,49,2018,1,3,3,21,1.18,7.14,5.05,8.8,26,-0.20752567100982397,-3.4040841210724e-14,1
114,45,2018,1,3,3,51,1.13,7.14,5.32,8.8,49,-0.049465681893426997,4.16106264482515e-11,1
115,45,2018,1,3,4,21,1.11,6.67,5.14,8.7,45,0.10859430722297,8.32552937377137e-11,1
116,48,2018,1,3,4,51,1.0,6.25,5.0,8.7,45,0.266654296339367,8.48463920024103e-12,1
117,49,2018,1,3,5,21,1.09,6.67,5.29,8.6,48,0.424714285455764,5.0129306489703207e-11,1
118,40,2018,1,3,5,51,1.0,6.25,5.13,8.8,49,0.582774274572161,-2.4641348047769397e-11,1
119,42,2018,1,3,6,21,0.96,6.25,5.09,8.7,40,0.7408342636885581,1.70033192416928e-11,1
120,51,2018,1,3,6,51,0.91,6.25,5.12,8.6,42,0.8988942528049549,5.864798653115499e-11,1
121,49,2018,1,3,7,21,0.93,6.25,4.86,8.6,51,1.05695424192135,-1.61226680063177e-11,1
122,37,2018,1,3,7,51,0.93,5.88,4.8,8.6,49,1.2150142310377499,2.5521999283144502e-11,1
123,57,2018,1,3,8,21,0.89,5.88,4.55,8.6,37,1.37307422015415,6.71666665726067e-11,1
124,44,2018,1,3,8,51,0.91,5.88,4.4,8.6,57,1.5311342092705402,-7.60398796486591e-12,1
