,runoff_obs,basin_cfs_pred,Id,year,month,day,precip,tmax,tmin
0,2.7,3.890482,1,2002,10,1,0.13,57.4,34.6
1,2.7,3.041588,2,2002,10,2,0.97,38.4,29.7
2,2.8,2.796749,3,2002,10,3,0.04,41.2,31.7
3,2.8,2.600715,4,2002,10,4,0.0,52.9,34.0
4,2.6,2.4395599999999997,5,2002,10,5,0.0,50.5,34.8
5,2.4,2.313932,6,2002,10,6,0.0,59.1,38.7
6,2.8,2.20687,7,2002,10,7,0.0,59.8,39.8
7,2.5,2.138643,8,2002,10,8,0.0,65.0,42.3
8,2.4,2.0741490000000002,9,2002,10,9,0.0,66.7,42.2
9,2.3,2.018152,10,2002,10,10,0.0,67.9,45.3
10,2.2,1.969334,11,2002,10,11,0.0,68.5,48.0
11,2.1,1.8807150000000001,12,2002,10,12,0.0,58.3,31.9
12,2.1,1.841334,13,2002,10,13,0.0,57.7,29.0
13,2.1,1.812958,14,2002,10,14,0.0,60.1,35.3
14,2.1,1.795018,15,2002,10,15,0.0,63.1,36.1
15,2.0,1.774201,16,2002,10,16,0.0,64.1,36.2
16,2.0,1.7465419999999998,17,2002,10,17,0.0,61.8,37.6
17,1.9,1.7302669999999998,18,2002,10,18,0.0,62.9,35.7
18,1.9,1.7187270000000001,19,2002,10,19,0.0,64.4,35.9
19,1.9,1.7090400000000001,20,2002,10,20,0.0,64.2,37.2
20,1.9,1.6928779999999999,21,2002,10,21,0.0,64.1,36.9
21,1.8,1.678333,22,2002,10,22,0.0,62.8,35.6
22,1.8,1.663181,23,2002,10,23,0.0,60.7,32.0
23,1.8,1.6494669999999998,24,2002,10,24,0.0,53.0,30.9
24,1.8,1.640825,25,2002,10,25,0.0,55.3,31.9
25,1.9,2.082153,26,2002,10,26,0.14,52.8,34.7
26,1.8,1.625104,27,2002,10,27,0.0,45.9,32.8
27,1.8,1.6171229999999999,28,2002,10,28,0.0,50.4,32.7
28,1.7,1.609214,29,2002,10,29,0.0,52.9,25.8
29,1.6,1.6013680000000001,30,2002,10,30,0.0,44.8,24.0
30,1.7,1.593589,31,2002,10,31,0.0,47.3,21.5
31,1.8,1.585876,32,2002,11,1,0.0,40.5,9.4
32,1.8,1.578224,33,2002,11,2,0.0,31.0,9.9
33,1.8,1.570637,34,2002,11,3,0.0,38.7,14.9
34,1.8,1.5631110000000001,35,2002,11,4,0.0,38.3,15.7
35,1.8,1.555647,36,2002,11,5,0.0,44.6,22.9
36,1.6,1.548243,37,2002,11,6,0.0,51.1,25.3
37,1.5,1.540956,38,2002,11,7,0.0,56.2,32.0
38,1.8,1.7062830000000002,39,2002,11,8,0.05,49.6,35.7
39,1.7,2.989479,40,2002,11,9,0.55,45.2,37.4
40,1.7,1.561624,41,2002,11,10,0.06,44.7,28.9
41,1.7,1.589024,42,2002,11,11,0.16,43.2,26.2
42,1.7,1.505852,43,2002,11,12,0.0,42.3,23.4
43,1.8,1.498802,44,2002,11,13,0.0,50.1,25.8
44,1.7,1.491811,45,2002,11,14,0.0,49.3,27.8
45,1.7,1.4848780000000001,46,2002,11,15,0.0,46.7,26.1
46,1.7,1.478002,47,2002,11,16,0.0,45.5,27.0
47,1.7,1.471193,48,2002,11,17,0.0,53.7,32.3
48,1.8,1.464415,49,2002,11,18,0.0,51.1,21.0
49,1.7,1.457704,50,2002,11,19,0.0,48.0,24.9
50,1.6,1.451048,51,2002,11,20,0.0,50.0,27.5
51,1.6,1.444444,52,2002,11,21,0.0,54.7,31.3
52,1.6,1.4380620000000002,53,2002,11,22,0.0,58.5,33.9
53,1.6,1.432347,54,2002,11,23,0.0,59.3,34.0
54,1.6,1.4249690000000002,55,2002,11,24,0.0,53.0,29.2
55,1.6,1.782527,56,2002,11,25,0.04,48.0,18.6
56,1.5,1.412476,57,2002,11,26,0.0,33.1,19.5
57,1.5,1.406161,58,2002,11,27,0.0,43.6,18.8
58,1.4,1.3998979999999999,59,2002,11,28,0.0,41.8,22.5
59,1.5,1.393684,60,2002,11,29,0.0,44.5,23.8
60,1.5,1.387518,61,2002,11,30,0.0,47.6,26.0
61,1.4,1.381401,62,2002,12,1,0.0,43.2,28.8
62,1.3,1.375332,63,2002,12,2,0.0,44.0,24.9
63,1.3,1.369309,64,2002,12,3,0.0,43.1,22.8
64,1.3,1.363336,65,2002,12,4,0.0,44.5,25.3
65,1.3,1.357406,66,2002,12,5,0.0,45.9,25.8
66,1.2,1.351524,67,2002,12,6,0.0,45.4,25.7
67,1.2,1.345684,68,2002,12,7,0.0,42.8,24.3
68,1.2,1.339891,69,2002,12,8,0.0,42.9,22.3
69,1.2,1.334143,70,2002,12,9,0.0,42.1,22.5
70,1.1,1.328438,71,2002,12,10,0.0,44.4,24.7
71,1.1,1.322775,72,2002,12,11,0.0,42.8,21.0
72,1.1,1.3171549999999999,73,2002,12,12,0.0,42.5,24.1
73,1.1,1.3115809999999999,74,2002,12,13,0.0,46.9,28.5
74,1.0,1.3060450000000001,75,2002,12,14,0.0,48.0,30.2
75,1.0,1.300575,76,2002,12,15,0.0,53.4,33.6
76,1.1,1.2951030000000001,77,2002,12,16,0.0,44.1,27.9
77,1.1,1.315968,78,2002,12,17,0.38,39.1,26.6
78,1.1,1.285067,79,2002,12,18,0.02,36.6,15.5
79,1.1,1.2790290000000002,80,2002,12,19,0.0,31.6,10.0
80,1.1,1.273736,81,2002,12,20,0.0,35.8,16.1
81,1.1,1.2684819999999999,82,2002,12,21,0.0,32.6,13.9
82,1.1,1.263268,83,2002,12,22,0.0,34.4,15.9
83,1.1,1.258092,84,2002,12,23,0.19,27.0,17.5
84,1.1,1.252956,85,2002,12,24,0.0,24.8,6.7
85,1.1,1.2478559999999999,86,2002,12,25,0.0,29.5,8.3
86,1.1,1.242794,87,2002,12,26,0.0,30.9,8.2
87,1.1,1.2377690000000001,88,2002,12,27,0.0,39.5,15.5
88,1.1,1.232782,89,2002,12,28,0.0,50.1,28.9
89,0.93,1.227831,90,2002,12,29,0.0,49.8,27.7
90,0.92,1.222915,91,2002,12,30,0.0,36.4,15.8
91,0.94,1.2180360000000001,92,2002,12,31,0.0,40.2,20.7
92,0.92,1.213192,93,2003,1,1,0.0,38.4,17.0
93,0.92,1.2083840000000001,94,2003,1,2,0.0,40.3,19.2
94,0.96,1.203611,95,2003,1,3,0.0,50.4,28.0
95,0.93,1.199571,96,2003,1,4,0.0,55.7,32.5
96,0.92,1.1941760000000001,97,2003,1,5,0.0,52.2,30.4
97,0.9,1.1895040000000001,98,2003,1,6,0.0,50.1,24.2
98,0.93,1.1848670000000001,99,2003,1,7,0.0,44.6,25.2
99,0.99,1.1802629999999998,100,2003,1,8,0.0,49.4,27.1
100,0.96,1.175694,101,2003,1,9,0.0,51.2,29.3
101,0.96,1.324093,102,2003,1,10,0.2,47.9,30.4
102,0.96,1.2021030000000001,103,2003,1,11,0.03,44.3,29.6
103,0.96,1.162368,104,2003,1,12,0.0,43.3,24.9
104,0.96,1.157912,105,2003,1,13,0.0,45.9,30.7
105,0.96,1.153494,106,2003,1,14,0.0,52.8,30.8
106,0.96,1.149103,107,2003,1,15,0.0,51.7,29.6
107,1.0,1.1447450000000001,108,2003,1,16,0.0,45.4,28.0
108,1.0,1.14042,109,2003,1,17,0.0,47.4,26.4
109,1.0,1.136126,110,2003,1,18,0.0,44.9,26.2
110,1.0,1.131864,111,2003,1,19,0.0,48.7,28.2
111,1.0,1.1276329999999999,112,2003,1,20,0.0,53.4,29.7
112,1.0,1.123426,113,2003,1,21,0.0,54.4,29.9
113,0.99,1.1192520000000001,114,2003,1,22,0.0,48.7,26.9
114,0.99,1.115106,115,2003,1,23,0.0,50.9,30.7
115,0.99,1.110991,116,2003,1,24,0.0,55.3,30.9
116,0.99,1.1069069999999999,117,2003,1,25,0.0,51.1,29.9
117,1.0,1.102849,118,2003,1,26,0.0,47.6,26.0
118,1.0,1.0988209999999998,119,2003,1,27,0.0,53.3,32.6
119,1.0,1.368163,120,2003,1,28,0.11,56.4,33.2
120,1.0,1.091216,121,2003,1,29,0.0,44.7,25.0
121,1.0,1.08725,122,2003,1,30,0.0,53.1,30.2
122,1.0,1.083329,123,2003,1,31,0.0,59.3,30.7
123,1.0,1.083533,124,2003,2,1,0.0,60.9,40.9
124,1.1,1.523145,125,2003,2,2,0.49,56.0,23.3
125,1.0,1.078267,126,2003,2,3,0.0,31.0,13.7
126,1.0,1.073266,127,2003,2,4,0.0,34.5,14.2
127,0.9,1.068508,128,2003,2,5,0.13,31.8,12.2
128,0.9,1.063955,129,2003,2,6,0.18,27.3,12.8
129,0.95,1.0595729999999999,130,2003,2,7,0.0,21.9,1.0
130,0.95,1.0553350000000001,131,2003,2,8,0.0,24.6,1.5
131,0.95,1.05122,132,2003,2,9,0.0,30.3,3.6
132,0.95,1.04721,133,2003,2,10,0.0,36.8,14.4
133,0.95,1.043291,134,2003,2,11,0.0,46.8,22.9
134,0.95,1.039449,135,2003,2,12,0.0,46.6,25.0
135,0.95,1.105939,136,2003,2,13,0.13,43.0,30.7
136,0.95,1.032081,137,2003,2,14,0.12,42.7,30.0
137,0.95,1.028416,138,2003,2,15,0.0,47.8,26.7
138,0.96,1.0248,139,2003,2,16,0.0,46.3,31.2
139,0.95,1.021228,140,2003,2,17,0.0,43.0,24.3
140,0.95,1.017699,141,2003,2,18,0.0,39.2,21.7
141,0.95,1.014205,142,2003,2,19,0.0,42.7,21.2
142,0.95,1.015418,143,2003,2,20,0.05,39.7,24.6
143,0.95,1.007333,144,2003,2,21,0.0,43.7,21.8
144,0.95,1.003934,145,2003,2,22,0.0,49.8,23.1
145,0.95,1.0005629999999999,146,2003,2,23,0.0,42.0,18.5
146,0.95,0.9972190000000001,147,2003,2,24,0.0,45.8,19.5
147,0.95,0.9944850000000001,148,2003,2,25,0.48,36.3,20.1
148,0.95,0.990612,149,2003,2,26,0.0,31.1,20.3
149,0.95,0.987341,150,2003,2,27,0.0,34.3,15.6
150,0.95,0.984189,151,2003,2,28,0.09,35.5,18.4
151,0.95,0.9811700000000001,152,2003,3,1,0.05,36.4,18.7
152,0.95,0.977666,153,2003,3,2,0.11,31.0,10.8
153,0.95,0.974483,154,2003,3,3,0.0,39.6,19.8
154,0.95,0.989192,155,2003,3,4,0.09,45.6,24.2
155,0.95,0.968369,156,2003,3,5,0.0,33.8,13.6
156,0.95,0.965245,157,2003,3,6,0.0,44.2,24.0
157,0.95,0.962142,158,2003,3,7,0.0,47.6,26.8
158,0.95,0.960052,159,2003,3,8,0.0,51.2,28.1
159,1.0,0.9636520000000001,160,2003,3,9,0.0,57.0,32.0
160,1.1,0.961664,161,2003,3,10,0.0,58.2,31.7
161,1.2,0.9573010000000001,162,2003,3,11,0.0,57.8,32.8
162,1.2,0.9741290000000001,163,2003,3,12,0.0,60.2,32.8
163,1.2,1.029651,164,2003,3,13,0.0,59.8,37.9
164,1.3,1.188077,165,2003,3,14,0.0,64.3,41.1
165,1.3,1.315812,166,2003,3,15,0.0,58.8,39.0
166,1.3,2.021067,167,2003,3,16,0.36,52.3,29.4
167,1.3,1.209274,168,2003,3,17,0.0,44.0,29.0
168,1.2,1.1598600000000001,169,2003,3,18,0.0,43.2,28.7
169,1.2,1.1184610000000001,170,2003,3,19,0.0,42.4,26.2
170,1.2,1.083541,171,2003,3,20,0.0,45.7,24.1
171,1.2,1.053965,172,2003,3,21,0.0,46.2,26.3
172,1.2,1.029032,173,2003,3,22,0.0,51.7,28.5
173,1.2,1.105415,174,2003,3,23,0.0,62.3,36.6
174,1.2,1.057269,175,2003,3,24,0.02,54.3,31.0
175,1.2,1.0232709999999998,176,2003,3,25,0.0,45.6,26.7
176,1.2,1.0856350000000001,177,2003,3,26,0.0,58.4,31.6
177,1.2,1.0797219999999998,178,2003,3,27,0.0,57.3,25.8
178,1.1,1.029619,179,2003,3,28,0.0,42.0,19.8
179,1.2,1.006843,180,2003,3,29,0.0,38.1,18.0
180,1.1,0.9875639999999999,181,2003,3,30,0.0,48.7,19.0
181,1.1,1.059955,182,2003,3,31,0.0,58.8,33.0
182,1.2,1.469431,183,2003,4,1,0.0,66.4,38.7
183,1.2,1.563895,184,2003,4,2,0.0,60.3,39.4
184,1.2,1.363915,185,2003,4,3,0.31,42.8,18.4
185,1.4,1.275334,186,2003,4,4,0.0,37.0,18.6
186,1.2,1.271699,187,2003,4,5,0.13,42.4,23.3
187,1.1,1.174427,188,2003,4,6,0.0,43.8,21.3
188,1.1,1.1346370000000001,189,2003,4,7,0.0,39.2,22.3
189,1.2,1.100515,190,2003,4,8,0.0,43.3,21.4
190,1.2,1.072078,191,2003,4,9,0.0,57.1,25.8
