"","Dp","Hs","Tp","Ta","Temp","lag","season"
"88056","6","2.21","6.25","5.01","11.0","13","4"
"88057","9","2.3","6.25","5.16","11.0","6","1"
"88058","357","2.41","6.25","5.23","11.0","9","1"
"88059","359","2.49","6.25","5.24","10.9","357","1"
"88060","0","2.12","6.25","5.04","11.0","359","1"
"88061","359","2.28","6.67","5.18","10.9","0","1"
"88062","2","2.28","6.25","5.22","10.9","359","1"
"88063","12","2.35","6.67","5.24","10.8","2","1"
"88064","4","2.39","6.67","5.19","10.8","12","1"
"88065","4","2.25","6.67","5.08","10.8","4","1"
"88066","17","2.41","7.14","5.24","10.7","4","1"
"88067","7","2.36","6.67","5.11","10.7","17","1"
"88068","6","2.45","6.25","5.29","10.7","7","1"
"88069","13","2.34","6.67","5.15","10.6","6","1"
"88070","7","2.72","6.67","5.66","10.6","13","1"
"88071","14","2.63","7.14","5.56","10.4","7","1"
"88072","19","2.92","7.69","5.97","10.4","14","1"
"88073","10","3.17","7.14","6.07","10.4","19","1"
"88074","17","3.08","7.69","5.94","10.4","10","1"
"88075","16","2.99","7.69","5.96","10.3","17","1"
"88076","6","3.04","7.14","5.82","10.2","16","1"
"88077","12","2.86","7.69","5.71","10.2","6","1"
"88078","6","3.15","7.69","6.13","10.1","12","1"
"88079","16","2.99","7.69","5.94","10.1","6","1"
"88080","20","3.08","7.69","5.91","10.1","16","1"
"88081","10","3.21","7.69","6.06","10.1","20","1"
"88082","27","2.85","8.33","5.83","10.1","10","1"
"88083","21","3.01","7.69","5.83","10.1","27","1"
"88084","10","2.99","7.69","5.86","10.2","21","1"
"88085","17","2.94","8.33","5.84","10.2","10","1"
"88086","19","3.26","8.33","6.07","10.2","17","1"
"88087","13","2.93","7.69","5.9","10.6","19","1"
"88088","16","3.17","7.69","6.11","10.7","13","1"
"88089","13","3.2","7.69","5.99","10.7","16","1"
"88090","17","3.07","8.33","5.87","10.6","13","1"
"88091","27","3.18","8.33","5.92","10.5","17","1"
"88092","12","2.95","7.69","5.87","10.4","27","1"
"88093","24","2.93","8.33","5.84","10.4","12","1"
"88094","16","3.05","7.69","5.98","10.4","24","1"
"88095","28","3.04","8.33","5.95","10.3","16","1"
"88096","17","2.75","8.33","5.92","10.3","28","1"
"88097","21","3.03","8.33","5.94","10.2","17","1"
"88098","30","2.98","8.33","5.97","10.2","21","1"
"88099","16","2.88","7.69","5.88","10.1","30","1"
"88100","17","2.82","7.14","5.74","10.1","16","1"
"88101","17","2.83","7.69","5.74","10.1","17","1"
"88102","13","2.72","7.69","5.85","10.1","17","1"
"88103","17","2.82","7.69","5.67","10.1","13","1"
