Date(UTC),Hs(ft),TP(s),Dp(deg),Ta(s),SST(F)
1/31/2019 23:58,3.41,7.69,41,6.08,45.9
1/31/2019 23:28,3.58,7.69,40,5.93,
1/31/2019 22:28,3.74,7.14,40,5.89,45.9
1/31/2019 21:58,3.71,7.69,38,5.94,46
1/31/2019 21:28,3.84,7.69,45,6.05,46.2
1/31/2019 20:58,4.1,7.69,45,5.89,46.2
1/31/2019 20:28,3.87,8.33,58,5.66,46.2
1/31/2019 19:58,3.87,9.09,55,5.5,46.2
1/31/2019 19:28,3.87,7.69,45,5.51,46.2
1/31/2019 18:58,4.07,6.67,41,5.31,46.2
1/31/2019 18:28,4.23,6.67,37,5.23,46.2
1/31/2019 17:58,4.27,6.25,33,5.1,46.2
1/31/2019 17:28,4.59,6.67,34,4.96,46
1/31/2019 16:58,4.63,6.67,28,4.97,46
1/31/2019 16:28,4.92,5.88,28,5.09,46
1/31/2019 15:58,4.95,6.25,23,4.94,46
1/31/2019 15:28,5.09,5.88,21,4.91,46
1/31/2019 14:58,5.15,7.14,33,4.95,46
1/31/2019 14:28,5.35,5.88,19,4.85,46
1/31/2019 13:58,5.38,6.67,27,4.99,46
1/31/2019 13:28,5.54,7.14,28,4.89,46
1/31/2019 12:58,5.74,5.56,16,4.96,46
1/31/2019 12:28,6.07,6.25,24,5,46
1/31/2019 11:58,6.07,5.88,10,4.86,46.2
1/31/2019 11:28,5.54,6.25,13,4.86,46.2
1/31/2019 10:58,5.58,6.25,9,4.78,46.2
1/31/2019 10:28,5.45,6.25,12,4.68,46.2
1/31/2019 9:58,5.74,6.25,4,4.68,46.2
1/31/2019 9:28,5.61,6.25,6,4.66,46.2
1/31/2019 8:58,5.68,5.88,9,4.74,46.2
1/31/2019 8:28,5.64,5.56,357,4.73,46.2
1/31/2019 7:58,5.84,6.25,2,4.83,46.2
1/31/2019 7:28,5.54,5.26,2,4.71,46.2
1/31/2019 6:58,5.09,5.56,356,4.62,46.2
1/31/2019 6:28,5.05,5.26,355,4.59,46.2
1/31/2019 5:58,4.89,5,3,4.56,46.2
1/31/2019 5:28,4.72,4.55,353,4.28,46.2
1/31/2019 4:58,4.27,4,0,4.12,46.2
1/31/2019 4:28,3.9,10.53,58,4.08,46.2
1/31/2019 3:58,3.41,11.11,58,4.09,46.2
1/31/2019 3:28,3.18,9.88,69,4.3,46.2
1/31/2019 2:58,2.95,11.76,61,4.2,46.4
1/31/2019 2:28,3.31,11.11,66,4.62,46.4
1/31/2019 1:58,3.35,11.76,44,4.57,46.4
1/31/2019 1:28,3.44,10.53,51,4.46,46.4
1/31/2019 0:58,3.84,11.76,55,4.79,46.4
1/31/2019 0:28,3.97,10.53,51,4.61,46.4
1/30/2019 23:58,4.1,11.76,57,4.66,46.6
1/30/2019 23:28,4.43,11.11,45,4.68,46.6
1/30/2019 22:58,4.66,11.11,58,4.83,46.6
1/30/2019 22:28,4.69,11.11,64,4.6,46.6
1/30/2019 21:58,4.72,10.53,66,4.58,46.4
1/30/2019 21:28,4.66,9.88,58,4.71,46.6
1/30/2019 20:58,4.43,11.76,61,5.07,46.6
1/30/2019 20:28,4.46,10.53,61,5.25,46.6
1/30/2019 19:58,4.27,11.11,54,5.3,46.6
1/30/2019 19:28,4.23,11.11,75,5.52,46.6
1/30/2019 18:58,4.43,11.11,44,6.07,46.6
1/30/2019 18:28,4.36,10.53,59,6.18,46.6
1/30/2019 17:58,4.33,9.88,65,6.06,46.6
1/30/2019 17:28,4.66,10.53,54,6.11,46.6
1/30/2019 16:58,4.99,9.88,58,5.99,46.6
1/30/2019 16:28,5.18,11.11,42,5.74,46.6
1/30/2019 15:58,5.25,10.53,41,5.65,46.4
1/30/2019 15:28,5.22,10.53,58,5.46,46.4
1/30/2019 14:58,5.22,6.25,12,5.19,46.2
1/30/2019 14:28,5.87,11.11,47,5.5,46.2
1/30/2019 13:58,5.71,5.88,4,5.24,46.2
1/30/2019 13:28,6.33,11.11,44,5.6,46.2
1/30/2019 12:58,5.51,11.11,64,5.14,46.2
1/30/2019 12:28,5.31,9.88,73,4.98,46.2
1/30/2019 11:58,5.58,11.11,52,5.22,46.2
1/30/2019 11:28,4.99,5,2,4.84,46.2
1/30/2019 10:58,5.02,11.76,59,4.96,46.2
1/30/2019 10:28,4.99,11.11,66,4.99,46.2
1/30/2019 9:58,4.95,10.53,82,5.24,46.2
1/30/2019 9:28,5.61,11.11,76,5.55,46.2
1/30/2019 8:58,5.31,12.5,65,5.2,46
1/30/2019 8:28,5.51,11.11,54,5.09,46.2
1/30/2019 7:58,5.81,9.88,89,5.22,46.2
1/30/2019 7:28,5.94,12.5,59,5.28,46
1/30/2019 6:58,5.51,11.11,61,5.18,46.2
1/30/2019 6:28,5.61,11.11,72,5.3,46
1/30/2019 5:58,5.81,11.76,65,5.67,46
1/30/2019 5:28,5.61,9.88,97,5.68,46.2
1/30/2019 4:58,6.04,11.11,66,5.95,46.2
1/30/2019 4:28,5.94,11.11,78,5.96,46.2
1/30/2019 3:58,5.45,11.11,65,6.39,46.2
1/30/2019 3:28,5.02,11.76,68,6.85,46.4
1/30/2019 2:58,5.97,9.88,86,8.05,46.4
1/30/2019 2:28,5.61,10.53,76,8.01,46.4
1/30/2019 1:58,6,9.88,97,8.17,46.2
1/30/2019 1:28,6.23,9.88,92,8.38,46.2
