Date,DP(deg),HS(m),TP(sec),Ta(sec),Temp(Sfc(c))
2012-04-08 19:53:00,73,1.02,10.53,5.98,13.5
2012-04-08 20:23:00,68,1.01,11.11,5.75,13.5
2012-04-08 20:53:00,73,0.99,9.88,6.01,13.2
2012-04-08 21:23:00,68,0.97,9.88,5.71,13.2
2012-04-08 21:53:00,69,0.92,10.53,5.52,13.2
2012-04-08 22:23:00,62,0.92,11.11,5.34,13.1
2012-04-08 22:53:00,71,1.0,9.88,4.7,12.9
2012-04-08 23:23:00,75,1.1,9.88,4.71,12.6
2012-04-08 23:53:00,61,1.01,11.11,4.59,12.6
2012-04-09 00:23:00,73,0.98,10.53,4.48,12.6
2012-04-09 00:53:00,71,0.99,10.53,4.42,12.5
2012-04-09 01:23:00,71,1.02,9.88,4.29,12.5
2012-04-09 01:53:00,59,0.98,11.11,4.37,12.4
2012-04-09 02:23:00,62,0.96,10.53,4.47,12.3
2012-04-09 02:53:00,71,0.86,10.53,4.39,12.4
2012-04-09 03:23:00,66,0.87,10.53,4.42,12.8
2012-04-09 03:53:00,72,0.86,9.88,4.4,12.6
2012-04-09 04:23:00,62,0.83,11.11,3.88,12.3
2012-04-09 04:53:00,69,0.86,10.53,4.16,12.3
2012-04-09 05:23:00,65,0.82,10.53,4.09,13.5
2012-04-09 05:53:00,64,0.79,10.53,4.07,13.5
2012-04-09 06:23:00,64,0.76,10.53,4.21,13.5
2012-04-09 06:53:00,69,0.74,10.53,4.22,13.5
2012-04-09 07:23:00,54,0.78,9.88,4.15,13.4
2012-04-09 07:53:00,62,0.76,10.53,4.11,13.2
2012-04-09 08:23:00,62,0.78,9.88,4.26,13.1
2012-04-09 08:53:00,58,0.8,10.53,4.33,13.1
2012-04-09 09:23:00,71,0.91,10.53,4.55,13.0
2012-04-09 09:53:00,76,0.9,10.53,4.46,13.0
2012-04-09 10:23:00,183,0.89,6.25,4.48,13.0
2012-04-09 10:53:00,172,0.96,6.67,4.92,12.9
2012-04-09 11:23:00,180,0.98,5.88,5.13,12.8
2012-04-09 11:53:00,158,0.98,7.69,5.39,12.8
2012-04-09 12:23:00,162,0.96,7.69,5.32,12.7
2012-04-09 12:53:00,163,0.98,7.69,5.32,12.6
2012-04-09 13:23:00,159,0.98,7.69,5.49,12.6
2012-04-09 13:53:00,158,0.94,7.69,5.45,12.6
2012-04-09 14:23:00,166,0.94,7.14,5.59,12.7
2012-04-09 14:53:00,158,0.93,7.69,5.62,13.0
2012-04-09 15:23:00,64,0.83,10.53,5.42,13.4
2012-04-09 15:53:00,163,0.84,7.69,5.55,13.5
2012-04-09 16:23:00,64,0.78,10.53,5.59,13.9
2012-04-09 16:53:00,162,0.78,7.69,5.64,13.8
2012-04-09 17:23:00,72,0.7,11.11,5.47,13.5
2012-04-09 17:53:00,159,0.76,7.69,5.61,13.5
2012-04-09 18:23:00,149,0.71,7.69,4.76,13.5
2012-04-09 18:53:00,152,0.76,7.69,4.74,13.2
2012-04-09 19:23:00,156,0.79,7.69,4.48,12.9
2012-04-09 19:53:00,65,0.76,10.53,4.18,12.8
2012-04-09 20:23:00,76,0.81,10.53,3.97,12.8
2012-04-09 20:53:00,68,0.87,11.11,4.01,12.8
2012-04-09 21:23:00,58,0.87,11.11,4.18,12.8
2012-04-09 21:53:00,190,0.92,3.7,3.95,12.8
2012-04-09 22:23:00,189,0.9,3.7,3.87,12.8
2012-04-09 22:53:00,66,0.89,9.88,3.85,12.6
2012-04-09 23:23:00,72,0.81,10.53,4.24,12.6
2012-04-09 23:53:00,66,0.75,10.53,4.17,12.6
2012-04-10 00:23:00,71,0.75,10.53,3.95,12.5
2012-04-10 00:53:00,66,0.84,10.53,3.8,12.5
2012-04-10 01:23:00,64,0.86,11.11,3.9,12.9
2012-04-10 01:53:00,65,0.83,9.88,3.78,13.2
2012-04-10 02:23:00,75,0.82,10.53,3.69,13.2
2012-04-10 02:53:00,71,0.85,9.88,3.71,13.1
2012-04-10 03:23:00,73,0.84,10.53,3.76,13.1
